 index  label                                           nativelabel                      colour     type                 hemisphere  lobe
 12107  anterior_middle_cingulate_gyrus_right           ctx_rh_G_and_S_cingul-Mid-Ant    "#1A3C4B"  cerebral_cortex      right       limbic
 12108  posterior_middle_cingulate_gyrus_right          ctx_rh_G_and_S_cingul-Mid-Post   "#1A3C96"  cerebral_cortex      right       limbic
 12109  dorsal_posterior_cingulate_gyrus_right          ctx_rh_G_cingul-Post-dorsal      "#193CFA"  cerebral_cortex      right       limbic
 12110  ventral_posterior_cingulate_gyrus_right         ctx_rh_G_cingul-Post-ventral     "#3C1919"  cerebral_cortex      right       limbic
 12111  cuneus_right                                    ctx_rh_G_cuneus                  "#B41414"  cerebral_cortex      right       occipital
 12112  inferior_frontal_gyrus_pars_opercularis_right   ctx_rh_G_front_inf-Opercular     "#DC1464"  cerebral_cortex      right       frontal
 12113  inferior_frontal_gyrus_pars_orbitalis_right     ctx_rh_G_front_inf-Orbital       "#8C3C3C"  cerebral_cortex      right       frontal
 12114  inferior_frontal_gyrus_pars_triangularis_right  ctx_rh_G_front_inf-Triangul      "#B4DC8C"  cerebral_cortex      right       frontal
 12115  middle_frontal_gyrus_right                      ctx_rh_G_front_middle            "#8C64B4"  cerebral_cortex      right       frontal
 12116  superior_frontal_gyrus_right                    ctx_rh_G_front_sup               "#B4148C"  cerebral_cortex      right       frontal
 12117  long_insular_gyrus_right                        ctx_rh_G_Ins_lg_and_S_cent_ins   "#170A0A"  cerebral_cortex      right       insular
 12118  short_insular_gyri_right                        ctx_rh_G_insular_short           "#E18C8C"  cerebral_cortex      right       insular
 12119  middle_occipital_gyrus_right                    ctx_rh_G_occipital_middle        "#B43CB4"  cerebral_cortex      right       occipital
 12120  superior_occipital_gyrus_right                  ctx_rh_G_occipital_sup           "#14DC3C"  cerebral_cortex      right       occipital
 12121  fusiform_gyrus_right                            ctx_rh_G_oc-temp_lat-fusifor     "#3C148C"  cerebral_cortex      right       temporal
 12122  lingual_gyrus_right                             ctx_rh_G_oc-temp_med-Lingual     "#DCB48C"  cerebral_cortex      right       occipital
 12123  parahippocampal_gyrus_right                     ctx_rh_G_oc-temp_med-Parahip     "#416414"  cerebral_cortex      right       limbic
 12124  orbital_gyri_right                              ctx_rh_G_orbital                 "#DC3C14"  cerebral_cortex      right       frontal
 12125  angular_gyrus_right                             ctx_rh_G_pariet_inf-Angular      "#143CDC"  cerebral_cortex      right       parietal
 12126  supramarginal_gyrus_right                       ctx_rh_G_pariet_inf-Supramar     "#64643C"  cerebral_cortex      right       parietal
 12127  superior_parietal_gyrus_right                   ctx_rh_G_parietal_sup            "#DCB4DC"  cerebral_cortex      right       parietal
 12128  postcentral_gyrus_right                         ctx_rh_G_postcentral             "#14B48C"  cerebral_cortex      right       parietal
 12129  precentral_gyrus_right                          ctx_rh_G_precentral              "#3C8CB4"  cerebral_cortex      right       frontal
 12130  precuneus_right                                 ctx_rh_G_precuneus               "#19148C"  cerebral_cortex      right       parietal
 12131  gyrus_rectus_right                              ctx_rh_G_rectus                  "#143C64"  cerebral_cortex      right       frontal
 12132  subcallosal_gyrus_right                         ctx_rh_G_subcallosal             "#3CDC14"  cerebral_cortex      right       frontal
 12133  transverse_temporal_gyrus_right                 ctx_rh_G_temp_sup-G_T_transv     "#3C3CDC"  cerebral_cortex      right       temporal
 12134  superior_temporal_gyrus_lateral_right           ctx_rh_G_temp_sup-Lateral        "#DC3CDC"  cerebral_cortex      right       temporal
 12135  superior_temporal_gyrus_planum_polare_right     ctx_rh_G_temp_sup-Plan_polar     "#41DC3C"  cerebral_cortex      right       temporal
 12136  superior_temporal_gyrus_planum_temporale_right  ctx_rh_G_temp_sup-Plan_tempo     "#198C14"  cerebral_cortex      right       temporal
 12137  inferior_temporal_gyrus_right                   ctx_rh_G_temporal_inf            "#DCDC64"  cerebral_cortex      right       temporal
 12138  middle_temporal_gyrus_right                     ctx_rh_G_temporal_middle         "#B43C3C"  cerebral_cortex      right       temporal
 12144  temporal_pole_right                             ctx_rh_Pole_temporal             "#DCB414"  cerebral_cortex      right       temporal
 12143  occipital_pole_right                            ctx_rh_Pole_occipital            "#8C143C"  cerebral_cortex      right       occipital
